chat_id,n_turns,a_hat_full,a_hat_t5,delta_t5,a_hat_t8,delta_t8,a_hat_t10,delta_t10,a_hat_t12,delta_t12,a_hat_t15,delta_t15,a_hat_t20,delta_t20,a_hat_t25,delta_t25,a_hat_t30,delta_t30,a_hat_t40,delta_t40,a_hat_t50,delta_t50,first_stable_t,mal_mean
c0025,17,0.5389455141108739,0.874999998758012,0.33605448464713816,0.6895520545885436,0.15060654047766975,0.6498289837327558,0.11088346962188189,0.6049785943755114,0.0660330802646375,0.5504092464998398,0.01146373238896592,,,,,,,,,,,12.0,0.7058823529411765
c0026,15,0.9483675522732975,0.8292400834236939,0.11912746884960357,0.8892996736161441,0.05906787865715335,0.9290025124147179,0.019365039858579625,0.9423680884535283,0.005999463819769235,0.9483675522732975,0.0,,,,,,,,,,,8.0,0.0
c0027,19,0.6291662390279275,0.874999998758012,0.2458337597300846,0.8519312175775156,0.2227649785495881,0.7765816825905558,0.14741544356262837,0.7679081776885555,0.138741938660628,0.7174087362142418,0.08824249718631438,,,,,,,,,,,15.0,0.0
c0028,20,0.40843327197835994,0.874999998758012,0.4665667267796521,0.7809547311165028,0.3725214591381429,0.6658810446937399,0.25744777271537994,0.5485627502875482,0.14012947830918826,0.4948656085598245,0.08643233658146454,0.40843327197835994,0.0,,,,,,,,,15.0,0.5217391304347826
c0029,37,0.2538068962750399,0.874999998758012,0.6211931024829722,0.7341436142274235,0.4803367179523836,0.6823876920710917,0.42858079579605185,0.600529779083243,0.3467228828082031,0.5045424270301279,0.250735530755088,0.3849693864605372,0.1311624901854973,0.3284270372426469,0.074620140967607,0.2939461704280183,0.04013927415297841,,,,,25.0,0.4736842105263157
c0030,34,0.3084080056385458,0.874999998758012,0.5665919931194663,0.8443504889962282,0.5359424833576825,0.7237442013071742,0.4153361956686284,0.6750164712134193,0.36660846557487353,0.5945762801933934,0.28616827455484756,0.5222631335767558,0.21385512793821,0.4355079558471149,0.12709995020856907,0.3503413126704298,0.04193330703188397,,,,,30.0,0.2285714285714285
c0031,43,0.21333665740713673,0.874999998758012,0.6616633413508753,0.6930376704311044,0.4797010130239677,0.5752583649253369,0.3619217075182002,0.4943874058903114,0.2810507484831747,0.4382431935124193,0.22490653610528258,0.36368609102263155,0.15034943361549483,0.30390203831283713,0.0905653809057004,0.26951321149421187,0.05617655408707514,0.22153148147703378,0.00819482406989705,,,25.0,0.25
c0032,18,0.5364889031925502,0.874999998758012,0.3385110955654619,0.8691095015269931,0.3326205983344429,0.7835752667666251,0.24708636357407499,0.6949627694360215,0.15847386624347137,0.5558856688383204,0.019396765645770198,,,,,,,,,,,15.0,0.2777777777777778
c0033,23,0.3756439826779149,0.874999998758012,0.49935601608009716,0.727829418327348,0.35218543564943317,0.6046925012246324,0.22904851854671748,0.5311431003909365,0.1554991177130216,0.4600315117000706,0.08438752902215574,0.38999512375796885,0.014351141080053975,,,,,,,,,15.0,0.1304347826086956
c0034,15,0.39678661227884787,0.8395748742509509,0.442788261972103,0.7306849950379811,0.33389838275913325,0.6029170891979806,0.20613047691913272,0.5093610879678022,0.11257447568895435,0.39678661227884787,0.0,,,,,,,,,,,15.0,0.2352941176470588
c0035,63,0.17322759403209415,0.874999998758012,0.701772404725918,0.7457470899843032,0.5725194959522091,0.6667960218525038,0.4935684278204096,0.6107825300816484,0.43755493604955426,0.5283710275393729,0.3551434335072788,0.4153143876165954,0.24208679358450125,0.3528006704763529,0.17957307644425874,0.3134608982347561,0.14023330420266195,0.23845487679778904,0.0652272827656949,0.20761815597825556,0.03439056194616141,40.0,0.625
c0036,83,0.1290199085489563,0.874999998758012,0.7459800902090558,0.7895521302786349,0.6605322217296786,0.7451968122257295,0.6161769036767732,0.6868447348283042,0.5578248262793479,0.5840248871932618,0.45500497864430556,0.47424566299397874,0.34522575444502246,0.41225307120714044,0.2832331626581841,0.34949743981728754,0.22047753126833122,0.2758054425690214,0.14678553402006508,0.2213855332943644,0.09236562474540808,50.0,0.2976190476190476
c0037,16,0.5159806988623635,0.874999998758012,0.3590192998956485,0.771840923845699,0.2558602249833355,0.6904037385847602,0.1744230397223967,0.6260137818379351,0.11003308297557157,0.5456366474926291,0.02965594863026555,,,,,,,,,,,15.0,0.7647058823529411
c0038,29,0.3210505963569228,0.874999998758012,0.5539494024010893,0.7126765121171783,0.3916259157602555,0.6091753887036491,0.2881247923467263,0.5513999387084201,0.2303493423514973,0.5059683039647415,0.18491770760781867,0.41426849161600343,0.09321789525908064,0.3576592630620637,0.0366086667051409,,,,,,,20.0,0.3103448275862069
c0039,23,0.42387407349505724,0.874999998758012,0.4511259252629548,0.7279933848491755,0.3041193113541183,0.6460195533985063,0.22214547990344902,0.6017159159958624,0.17784184250080515,0.5208939944835237,0.09701992098846646,0.4325718618996699,0.00869778840461266,,,,,,,,,15.0,0.8260869565217391
c0040,15,0.5569452926868271,0.874999998758012,0.3180547060711849,0.7610819658213978,0.20413667313457062,0.665759701274257,0.10881440858742986,0.5962153451750734,0.03927005248824622,0.5569452926868271,0.0,,,,,,,,,,,12.0,0.6
c0041,71,0.16603760261856984,0.874999998758012,0.7089623961394422,0.7291039124635706,0.5630663098450008,0.6347785717800194,0.4687409691614496,0.6099679178567796,0.4439303152382098,0.6002358410278456,0.43419823840927574,0.4779136958619685,0.3118760932433987,0.3904797801958595,0.22444217757728965,0.33706094071383297,0.17102333809526313,0.28292996808296766,0.11689236546439782,0.22634730284113128,0.060309700222561435,50.0,0.5555555555555556
c0042,40,0.22717099704700724,0.874999998758012,0.6478290017110048,0.7230073511788068,0.4958363541317995,0.6370039062994094,0.4098329092524021,0.5781582548944679,0.35098725784746065,0.5077823946841679,0.2806113976371606,0.4174288388891283,0.19025784184212105,0.34309988260867563,0.11592888556166839,0.29402298460859705,0.0668519875615898,0.22717099704700724,0.0,,,30.0,0.2093023255813953
c0043,28,0.3170303795191955,0.874999998758012,0.5579696192388166,0.6864142185897754,0.36938383907057987,0.5771406881776702,0.2601103086584747,0.520506398909712,0.20347601939051646,0.45303350854768626,0.13600312902849077,0.3967229059186151,0.0796925263994196,0.34586222609348727,0.028831846574291775,,,,,,,20.0,0.7857142857142857
c0044,19,0.43728445361184975,0.874999998758012,0.4377155451461623,0.7359658618095251,0.2986814081976753,0.6690931747414544,0.2318087211296046,0.608007404288882,0.17072295067703225,0.5058181730588027,0.06853371944695297,,,,,,,,,,,15.0,0.32
c0045,39,0.25703107384030555,0.874999998758012,0.6179689249177065,0.6956060808897444,0.43857500704943886,0.6038013433201712,0.34677026947986567,0.5323407311102477,0.27530965726994217,0.4501034225991211,0.19307234875881557,0.3894906377512521,0.13245956391094654,0.3462725658186581,0.08924149197835257,0.3079167925910587,0.05088571875075315,,,,,25.0,0.3877551020408163
c0046,42,0.31949459734061864,0.874999998758012,0.5555054014173935,0.7232094703878974,0.40371487304727877,0.6357453031542146,0.316250705813596,0.6368427576000273,0.31734816025940865,0.6038146687792953,0.2843200714386767,0.5230424699044361,0.2035478725638175,0.45898972920463127,0.13949513186401263,0.42372614746139026,0.10423155012077162,0.33284512507075037,0.013350527730131734,,,40.0,0.0
c0047,73,0.1713779282496698,0.874999998758012,0.7036220705083422,0.7448450733944569,0.5734671451447871,0.6617884483241954,0.49041052007452557,0.607058660470059,0.43568073222038917,0.5200088641643514,0.34863093591468164,0.43518877370745784,0.26381084545778805,0.38480193633096094,0.21342400808129114,0.33396957648088155,0.16259164823121175,0.2816272918739977,0.11024936362432791,0.2318831847625355,0.0605052565128657,50.0,0.0
c0048,26,0.32379417154392165,0.8934650485872055,0.5696708770432839,0.7015627432570866,0.3777685717131649,0.615305556588178,0.29151138504425633,0.6034495460788748,0.27965537453495315,0.5232128922250888,0.19941872068116717,0.38410812099586766,0.060313949451946014,0.3363073315065712,0.012513159962649567,,,,,,,20.0,0.0
c0049,55,0.21583576641341992,0.874999998758012,0.6591642323445921,0.7506654371986609,0.5348296707852409,0.6668794633471348,0.4510436969337148,0.6166507665326907,0.40081500011927074,0.5267730993100594,0.3109373328966395,0.450973516615137,0.2351377502017171,0.37545139937471855,0.15961563296129863,0.332339023807188,0.11650325739376807,0.2659198620892482,0.050084095675828305,0.22109953603615579,0.005263769622735864,40.0,0.0
c0050,19,0.49381940224768706,0.874999998758012,0.381180596510325,0.7288513439138284,0.2350319416661414,0.6738698776639701,0.18005047541628305,0.6189560935734508,0.12513669132576377,0.5639878428548669,0.07016844060717986,,,,,,,,,,,15.0,0.0
