PK_Nr,Sortierklasse,A_cm2,sigma_max,E_mod,n_points,a_hat,k_hat,rmse,method,force_col_header,strain_col_header,QC_flag,grade,density_kg_m3,moisture_pct,failure_mode,grain_angle_class,clamping_pressure,grade_m,outlier_ahat
346,s 10,5.053472999999999,50.34238566600634,14.423777479131818,2680,0.5387622910034707,6.3837775332102,0.0730979055365986,sigmoid,Kraft [kN],e_sensor,1,S10,435.8490831422989,11.653751443115794,Zug-/Schubversagen im Einspannbereich,<7,80 bar,S10,0
347,s 10,5.146584,49.47730787911944,19.328364601643784,2499,0.5338105856625547,6.427441186683771,0.0711110603221962,sigmoid,Kraft [kN],e_sensor,1,S10,445.97733595283177,11.13738313117852,Einspannung,<7,100 bar,S10,0
352,s 10,5.1414,33.15461027759949,10.525452629614044,1661,0.5871838130611617,9.205117767313274,0.0867679350782224,sigmoid,Kraft [kN],e_sensor,1,S10,384.8021265288262,11.168338836895849,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
373,s 10,5.246415,59.46159707986311,15.359743298382137,3250,0.5230889843256743,5.89255374755547,0.0636516683320159,sigmoid,Kraft [kN],e_sensor,1,S10,455.7389478657081,11.030838568699572,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
374,s 10,5.13536,37.99620273700383,10.23475830972182,1910,0.5630646517773663,7.798559322889194,0.0808360519209346,sigmoid,Kraft [kN],e_sensor,1,S10,370.61857195460226,11.13061106157741,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
375,s 10,5.136915999999999,47.09151868188034,13.410756179424316,2402,0.538505293703048,6.638804025862978,0.0732533973238706,sigmoid,Kraft [kN],e_sensor,1,S10,423.4691548419937,11.520465649966862,Zug-/Schubversagen an Ästen,<7,100 bar,S10,0
380,s 10,5.11048,35.8732279673338,14.00334225445702,1854,0.5728031997368489,8.2336372636707,0.0802888099367215,sigmoid,Kraft [kN],e_sensor,1,S10,384.95369260310446,10.988511995859882,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
388,s 10,5.108324,30.77977751056413,12.273826659872592,1794,0.6067926083261447,9.71675600694843,0.0794149383835075,sigmoid,Kraft [kN],e_sensor,1,S10,388.33096365732484,11.887783733807616,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
399,s 10,5.075639,44.44884073340322,12.648235867701995,2218,0.5459214199912942,6.971438228648385,0.0777441316644574,sigmoid,Kraft [kN],e_sensor,1,S10,399.6480506181753,10.562533496311127,Zug-/Schubversagen,<12,80 bar,S10,0
403,s 10,5.112323,63.53512293970862,15.842364556844355,3339,0.520286246454856,5.815473133489054,0.0622498682259869,sigmoid,Kraft [kN],e_sensor,1,S10,400.65632741991243,11.108174657929577,Spröder Bruch,<12,80 bar,S10,0
