country,year,n_speeches,sv_mean_median,fid_mean_median,nc2_median,E_a_median,cv_sv_median,a_hat_diskurs,k_hat_diskurs,r2_diskurs,cum_damage,polyarchy,drift_rate
RS,2004,250,0.9672163737671716,0.36636891844479935,11.900728225708008,52.03018688385348,0.14426271673155594,0.47135080248286093,5.178868655856807,0.9891062602330929,19.028474704685937,0.634,-0.006000000000000005
RS,2005,250,0.9780050458816382,0.3821840960570056,12.087843418121338,48.24363658742543,0.1496989743908002,0.5307807188053623,5.038116431607875,0.9885756820299427,17.566746362828898,0.634,-0.0005000000000000004
RS,2006,250,0.9773024663329124,0.38800072724168955,14.0815110206604,48.671825006138775,0.1449968934154613,0.5037753446626001,5.043554433178427,0.9914295602955223,16.48912867987344,0.633,-0.0030000000000000027
RS,2007,250,0.976002192062795,0.3777011014521122,11.901264190673828,49.084614925979096,0.14436890074426778,0.4818823574218974,5.100464386052807,0.9860328806159668,19.544989035168946,0.628,-0.0025000000000000022
RS,2008,250,0.9948602782731706,0.39405042794015677,12.389202117919922,49.8901259327562,0.1449687271941493,0.4962612543605196,4.898178571297002,0.9879510243355636,20.185755955293192,0.628,-0.0025000000000000022
RS,2009,250,0.9654559063911439,0.37705358980057385,12.794204711914062,50.254866205701774,0.14342622998720633,0.4712271568470329,4.906218778522827,0.9874503685816924,20.649230870251312,0.623,-0.009000000000000008
RS,2010,250,0.9839879191440084,0.39654542518477154,15.333916664123535,51.28836200145597,0.1424576323338702,0.5040004500680433,4.6052398336881355,0.977678281719919,18.272556524744765,0.61,-0.008000000000000007
RS,2011,250,0.9815757139162584,0.40508336990729144,15.87369155883789,49.33412027156408,0.14392234928511177,0.47591962123403436,4.630890004403516,0.9828182867774883,18.47784133318855,0.607,-0.008500000000000008
RS,2012,250,0.97053638952119,0.3790065628109556,12.834187507629395,51.954917851717894,0.14435703888345416,0.4926328701072107,4.8189360816917555,0.9846373908766641,17.677149168320586,0.593,-0.05249999999999999
RS,2013,250,0.9750349358906822,0.3787398509003899,12.649667739868164,50.80095101496889,0.14307690007468132,0.5075810242790268,5.29358890453324,0.993051762807208,18.621173387266943,0.502,-0.07649999999999998
RS,2014,250,0.9689149991250955,0.37038232424984807,12.942903518676758,50.10738793997186,0.1449672920879766,0.5166913287608877,4.784474872655374,0.9878080730330739,19.602907378195475,0.44,-0.04000000000000001
RS,2015,250,0.9768377452615707,0.38122079240811335,12.706871509552002,48.941885823403595,0.1434643159554978,0.44091916103826434,4.415283944687654,0.970963182667104,19.488294474593907,0.422,-0.014500000000000013
RS,2016,250,0.9862586453557014,0.3936453094386091,12.92015552520752,47.0945311448824,0.14618114883384964,0.48136229707218114,4.564434705247498,0.9651728063621201,20.266116359300515,0.411,-0.022999999999999993
RS,2017,250,0.9810609185033374,0.39265176450664346,13.142720699310303,47.352291135508196,0.1519040754487481,0.5599130383180448,4.570279123734987,0.9867274189242772,22.160326765940162,0.376,-0.028499999999999998
RS,2018,250,0.9794429508794067,0.39276038577743605,11.68938159942627,49.62286123925046,0.14725078171583356,0.46641672091576103,4.838602946968971,0.9899650799910006,27.06650430216535,0.354,-0.005500000000000005
RS,2019,250,0.9932472796394275,0.40701267371575034,11.838722705841064,47.829114403901656,0.14443531240330615,0.4874246977604567,4.7667132495668225,0.9813234049263061,22.112879927007295,0.365,-0.0025000000000000022
RS,2020,250,0.9801616147647496,0.4014209091663361,14.35359811782837,49.32620724171447,0.1455903952452529,0.46379269866051015,4.922937697266792,0.9868458403476807,19.126221304807725,0.349,-0.014499999999999985
RS,2021,250,0.964290690133158,0.3927297873629464,14.783291339874268,47.3107806788064,0.15026299069547613,0.5068460830193777,4.953576360606326,0.9893397107759847,17.30107571038905,0.336,0.0040000000000000036
RS,2022,137,0.9753763890928693,0.40421072200492575,17.66762924194336,45.31668996401311,0.15530508029979206,0.4542706665049583,4.621351118601272,0.9899132528913178,9.107001103563956,0.357,0.011999999999999983
