sequence,n_events,a_hat,k,R2,max_mag,max_mag_pos,total_energy_log
seq_138,20,0.5110136485269929,27.349457389511898,0.9857650538829084,4.7,0.5789473684210527,12.119721227095619
seq_139,13,0.43384630463194485,5.306625308535622,0.9769391931216316,3.2,0.25,10.302334021735785
seq_140,10,0.6842338999360571,6.296608163659095,0.9672648244137977,4.8,0.6666666666666666,12.717975760571921
seq_141,68,0.4455605378232352,6.4634585055797995,0.944603477664855,4.4,0.6716417910447762,11.881781835024366
seq_142,10,0.3535518870063588,5.94302559113312,0.9557233598742995,3.6,0.1111111111111111,10.702554700957204
seq_143,8,0.4455519021466713,5.062761832496743,0.950204013516081,3.5,0.2857142857142857,10.66090772042469
seq_144,17,0.6507956507201693,74.01682911959429,0.9811636528365316,4.0,0.6875,10.917646938784804
seq_145,339,0.37020330869674595,5.979346788412397,0.9414307167417154,4.74,0.5946745562130178,12.47842773840792
seq_146,16,0.1775638675335093,10.804071091955953,0.761610636469605,3.8,0.13333333333333333,10.882069219109223
seq_147,30,0.43882054104449475,6.750077228861818,0.9689946234569261,3.54,0.3793103448275862,10.830253338452565
seq_148,32,0.4081381821412026,12.563056903095422,0.9653087410909171,3.9,0.41935483870967744,10.975805728047243
seq_149,9,0.2501484190813668,12.395825871745876,0.9496823810254562,6.8,0.0,15.011379276630478
seq_150,15,0.4867375515250704,4.94014989497433,0.968440136370518,3.2,0.7142857142857143,10.336022936789822
seq_151,21,0.2241801256783627,64.76935000830218,0.982365872471773,4.3,0.25,11.430418571673057
seq_152,8,0.4743955946309448,24.97407964092772,0.9914530254503423,3.5,0.5714285714285714,10.224837705958079
seq_153,9,0.4425748601416223,6.726960021607883,0.9880543434950168,4.7,0.0,12.425355387874447
seq_154,10,0.3883799349048406,60.17359985614142,0.9972755589630098,4.1,0.4444444444444444,11.005152119148418
seq_155,94,0.3309563377598579,99.99999999999999,0.983355650838829,4.89,0.3333333333333333,12.2499071436424
seq_156,11,0.8526941382146036,21.44774089750766,0.9532649618359852,3.96,0.9,11.025567162539465
seq_157,9,0.6801369954525468,99.99999935275643,0.9998417501455176,5.2,0.75,12.610543053829662
seq_158,10,0.6426554393917665,5.316290142537712,0.8809076339357336,3.5,0.8888888888888888,10.369942158779686
seq_159,22,0.6952525267179784,5.524224200899825,0.966199312702721,3.59,1.0,10.741355617747391
seq_160,8,0.49965985193600737,5.391284138858915,0.914861744564396,3.5,0.7142857142857143,10.447582218155096
seq_161,19,0.08307272902105624,99.99999999999999,0.9964266392422078,6.7,0.1111111111111111,14.86057724054433
seq_162,9,0.9295049820819398,99.99999999993507,0.9998510614889377,5.0,1.0,12.301095838204006
seq_163,18,0.42134064513338637,3.3478076061776068,0.7689039348824663,4.1,0.11764705882352941,11.33483699039777
seq_164,8,0.6627329960448849,27.197809190335445,0.9872490929979867,3.8,0.7142857142857143,10.673685719111832
seq_165,12,0.3374084107811268,13.006374770328474,0.9731257219098297,3.27,0.36363636363636365,10.091780146887356
seq_166,8,0.7571733582972097,28.372094321303596,0.9349067009995276,3.5,0.8571428571428571,10.23540937415691
seq_167,9,0.7563698080223998,40.82974768304504,0.9987044460888082,5.7,0.875,13.598564545370895
seq_168,11,0.47903358605956786,3.4902925380753214,0.9003934906255964,3.63,0.0,10.471058768115036
seq_169,8,0.4694655309451638,10.529892841584385,0.9704818135260507,4.1,0.42857142857142855,11.361625865107692
seq_170,20,0.6484336112332308,4.394286051188809,0.8203636938017262,3.76,0.7894736842105263,10.883569283571005
seq_171,9,0.6015326055333642,21.114083698742682,0.9937463071253082,4.1,0.0,11.079589906061914
seq_172,11,0.37199858246871764,5.203091422369058,0.9627490989058749,3.1,0.1,10.027328559074862
seq_173,8,0.10901215131607071,42.746528966126796,0.8663263906412553,3.54,0.14285714285714285,10.32272562687341
seq_174,13,0.6257061828393092,8.444589440128572,0.9576656001606838,3.7,0.8333333333333334,10.766293933149145
seq_175,8,0.23061984027671487,28.990527713310446,0.9807440468564241,5.3,0.2857142857142857,12.921094779755354
seq_176,8,0.6172204835451665,5.5519551142038885,0.9753074065153007,4.7,1.0,12.454868275763937
seq_177,37,0.022041765864047776,6.494698851438327,0.7407387536265546,5.0,0.027777777777777776,12.46346892458242
seq_178,8,0.4024071044723402,4.490447698731889,0.9244331878470473,3.1,0.14285714285714285,9.980343403882776
seq_179,8,0.4821992694633864,6.406002000289022,0.9422521142272717,3.3,0.7142857142857143,10.153160033508746
