event,type,start,end,n_days,total_return_pct,baseline_surprise,mean_excess,sigma_final,sigma_range,epsilon_final,a_hat_sigma_t,sigmoid_k_sigma_t,sigmoid_r2_sigma_t,a_hat_epsilon_t,sigmoid_k_epsilon_t,sigmoid_r2_epsilon_t,hooke_r2,hooke_E,hooke_p,a_hat_sigma_eps,sigmoid_k_sigma_eps,sigmoid_r2_sigma_eps,surp_1st_half,surp_2nd_half,surp_acceleration,status
Calm_2010_4_COVI,calm,2010-04-15,2010-05-18,24,-7.25310196277632,1.1617254946809652,0.8819313109755029,21.16635146341207,21.794204811598856,0.4556647636996487,0.6093892653626033,6.889853873031698,0.981210700803299,0.9899999999999999,6.374995101651907,0.9853994519618693,0.7923006037164763,55.59415457292317,5.801050817445838e-09,0.6220792964968138,7.374903183805378,0.9538766196068544,0.6019382867828033,1.1619243351682023,0.559986048385399,OK
Calm_2012_4_COVI,calm,2012-04-15,2012-05-18,25,-5.395923669006486,1.6040869900147254,-0.3479285532063387,-8.698213830158469,9.189177994121644,-2.1627961715443518,0.9899999775694271,0.5000000000000037,0.0,0.010000001187800674,0.5000000000002163,0.0,0.9656920216102021,4.394426376003526,2.400858172267384e-18,0.6675435737617432,2.839783529383007,0.9701306572938282,-0.44768422263856705,-0.25584639680735866,0.1918378258312084,OK
Calm_2013_4_COVI,calm,2013-04-15,2013-05-18,25,5.125970949346925,0.8526264945961839,0.46104444954837165,11.526111238709294,5.760950645308494,0.28628589720313813,0.05125458731174471,5.343875704545779,0.9469247252632942,0.5714834341003135,3.6703116931659023,0.9945523332204778,0.74631083688051,12.039099102943458,2.6523896451340956e-08,0.04574045165012555,4.670906838619493,0.9020904097522313,0.7968711829328908,0.15105054180881547,-0.6458206411240753,OK
Calm_2014_4_COVI,calm,2014-04-15,2014-05-18,23,2.7932811254013146,0.8211750402886533,0.07509006981341773,1.7270716057086073,1.5761111242994237,-0.03092164593733948,0.010000010269835116,0.5501896934473518,0.11115387664182264,0.09785754742622846,30.240529010648277,0.1309635166253702,0.002774789238052145,-0.3476424812714856,0.8113352980138354,0.9899999999999995,0.5000000900242535,0.00011865663053645115,0.1274001121152309,0.027139197703422286,-0.10026091441180861,OK
Calm_2015_4_COVI,calm,2015-04-15,2015-05-18,24,1.723239056524406,0.9795627105853769,0.04135170955150523,0.9924410292361254,3.0280432702486575,-0.4614852892041972,0.6145430918054112,26.4604719552323,0.6382328145189894,0.010000000000000052,0.5000000000000001,0.0,0.48337737209546416,-3.9386870931719407,0.00016251089343168696,0.010000000035830936,0.5000000000000001,0.0,-0.03314217629397598,0.11584559539698643,0.1489877716909624,OK
Calm_2016_4_COVI,calm,2016-04-15,2016-05-18,24,-1.4903308004922233,1.3178665477236386,-0.3551783620198332,-8.524280688475997,7.906948817122055,-1.2043940287694515,0.9899999999999769,0.5000000000000001,0.0,0.989999830478636,0.5000000000001816,0.0,0.9042151882993615,6.571906798648645,1.0965399615572876e-12,0.9799627792440354,3.842621439863754,0.9785539415535739,-0.5082862687954698,-0.20207045524419684,0.3062158135512729,OK
Calm_2017_4_COVI,calm,2017-04-15,2017-05-18,24,1.8322008198597528,0.5821164304300309,0.28892518808810275,6.934204514114466,6.578081832855185,-0.7280407238841922,0.9424767698293763,199.99999999999997,0.7772886706292244,0.010000000050834706,0.5000000000000862,0.0,0.10420983050129845,-2.53237986602703,0.12390926384100982,0.9899999996242664,0.5000000000000001,0.0,0.19290696076280897,0.38494341541339655,0.19203645465058758,OK
Calm_2019_4_COVI,calm,2019-04-15,2019-05-18,24,-1.4888202174778375,1.1389812155710257,0.037608991725057724,0.9026158014013852,7.805959965289686,-1.537994085313207,0.8115118463670504,199.99999683082982,0.6157563802034214,0.9899999436181917,0.5000000000002259,0.0,0.048137175206369946,-1.2068181854158415,0.30296985165513873,0.9095695023455925,26.47375663155212,0.08998914270559022,-0.5245916905859583,0.5998096740360738,1.124401364622032,OK
Calm_2020_10_COVI,calm,2020-10-15,2020-11-17,24,3.647291479396353,1.6357511512343117,0.12777283136015166,3.0665479526436403,7.715687067189605,-1.1455142556614646,0.3799898319046608,199.99999999999267,0.9369541923652838,0.9899999999998809,0.5000000000000001,0.0,0.6177161305991887,-6.550506997720943,5.321591045784639e-06,0.010000000000000002,0.5000000000000001,0.0,0.23991642148933368,0.015629241230969704,-0.22428718025836397,OK
Calm_2021_4_COVI,calm,2021-04-15,2021-05-18,24,0.11908840352448102,1.2199125717808017,0.05513546970204599,1.323251272849104,5.159133429897847,-0.33024299434086357,0.8212504904622242,199.99999998281868,0.4247315977236933,0.010000087791813075,0.5000000000231513,0.0,0.0009457917180155761,0.44232934932755386,0.8865647975446856,0.6605691614752229,57.67741042639486,0.14633239234648376,-0.1740531662733407,0.28432410567743266,0.4583772719507734,OK
Calm_2023_4_COVI,calm,2023-04-15,2023-05-18,24,1.6413842990107064,1.5295590494290061,-0.24697058023344498,-5.927293925602678,5.154505813677809,-1.031835844041669,0.010000000000000002,59.54138294243643,0.0,0.010000000115622928,0.5000000000000094,0.0,0.3765729524575706,3.096706326707336,0.0014264635140703082,0.20476177388392855,25.69062224281333,0.6824419987388941,-0.18413851130564818,-0.3098026491612417,-0.12566413785559355,OK
Calm_2024_4_COVI,calm,2024-04-15,2024-05-18,25,3.6409952549357305,0.9307100960575372,0.2438448618786788,6.09612154696697,5.458709313687785,-0.1689901405631815,0.4219220959188978,11.16398982900176,0.9671815992840629,0.010000000000000248,0.5000000000000001,0.0,0.4507456389164499,-24.16144716141574,0.0002385556462069838,0.010000000001862032,0.5000000000000001,0.0,0.3882571583384152,0.11054120360815284,-0.27771595473026234,OK
Calm_2003_4_Bear,calm,2003-04-15,2004-01-22,195,30.639092876468375,1.71153979355888,-0.4930807424915045,-96.1507447858434,96.29529062208586,-4.304822989408529,0.010000000000000002,0.5000000000000001,0.0,0.010000000000000106,0.5000000000000001,0.0,0.8801660700207712,18.412278952278495,7.395452663468834e-91,0.28443240289995303,9.347019969738042,0.8961544855588065,-0.327319946784054,-0.6571501015080629,-0.32983015472400884,OK
Calm_2004_4_Bear,calm,2004-04-15,2005-01-22,195,4.595281103596416,0.8795954311754001,0.19533571952075524,38.09046530654728,38.39118728612523,1.8061838410774862,0.2571573675989687,4.0355713224686784,0.9741542265793579,0.16251907690588527,7.934157979969347,0.9826428182392872,0.8497768346668856,19.57884965517184,2.2318513254287185e-81,0.33024462635816315,10.83077002000672,0.8822265325330378,0.2740399424601267,0.11743460089709165,-0.15660534156303504,OK
Calm_2005_4_Bear,calm,2005-04-15,2006-01-22,194,10.296421468954486,0.8100544678791244,0.17706072849143636,34.349781327338654,32.897935320446436,2.2191496423329644,0.6189183411438564,13.750716987646143,0.9371401106602191,0.1764289696063926,15.245323866508064,0.9321495168240101,0.4820370714757859,9.214814607505511,3.079522476155508e-29,0.8863731120971446,1.3289712481908766,0.48257908105638236,0.15495464440022855,0.19916681258264418,0.044212168182415634,OK
Calm_2006_4_Bear,calm,2006-04-15,2007-01-22,193,12.220141757651115,0.7500326954432696,0.17760491386719013,34.27774837636772,41.19142757080044,-0.9803848476351134,0.19511076600343547,17.90217981200918,0.9769092130054553,0.31621172949524434,29.967655800685872,0.3805464362256633,0.3811251071665642,5.4749350090679405,1.1609505653786965e-21,0.3549884142368742,31.01631116941458,0.5696030656002471,0.40738664232926597,-0.049807930796307534,-0.4571945731255735,OK
Calm_2009_10_Bear,calm,2009-10-15,2010-07-24,194,2.4534134025310683,1.7293178371320908,-0.2014066320269575,-39.0728866132298,61.11534229210528,2.501513817732169,0.9899999999999979,0.5000000000000001,0.0,0.883125397643016,22.39401060749873,0.9438664097177759,0.0146277931888078,-2.9351234508084607,0.09298448233678236,0.2558689683361609,77.35661854929613,0.32067307233021614,-0.3206730841040958,-0.08214017994981926,0.23853290415427653,OK
Calm_2010_4_Bear,calm,2010-04-15,2011-01-22,196,7.561023269392209,1.1617254946809652,0.3316108299960412,64.99572267922412,79.5569209855423,7.721527989700657,0.1307120807724556,7.508737935170815,0.9835483865666537,0.35860921021887443,6.638432699642284,0.999396265531572,0.8690899303364563,7.540184055311286,1.3614455808306957e-87,0.13047487961633425,7.479430679588511,0.9833410833947611,0.7274569932394541,-0.06423533324737171,-0.7916923264868259,OK
Calm_2012_4_Bear,calm,2012-04-15,2013-01-22,193,10.669224183840376,1.6040869900147254,-0.35041855108948655,-67.63078036027092,67.31098928106101,-12.721314879984668,0.010000000000000004,0.5000000000000001,0.0,0.010000000002972933,0.500000000000007,0.0,0.9504603829260397,5.789238596912575,1.3795846098847994e-126,0.39752600108347563,6.515819820768562,0.9858132135788633,-0.2861519638750725,-0.4140225961676694,-0.12787063229259688,OK
Calm_2013_4_Bear,calm,2013-04-15,2014-01-22,196,17.877254724939327,0.8526264945961839,0.2207947717669185,43.27577526631603,38.217690695210536,-0.49597193730950384,0.16439995596054832,3.797376883336048,0.9545627039381493,0.1636511233596017,26.986532229412052,0.1628986356357901,0.00025731650865094846,-0.38846178899695866,0.823416327067218,0.781826519686777,0.5000000000000001,0.000677744569455796,0.31969390307217904,0.12189564046165793,-0.1977982626105211,OK
Calm_2014_4_Bear,calm,2014-04-15,2015-01-22,195,14.356605393911014,0.8211750402886533,0.18795220050937705,36.65067909932853,43.658866087591214,-3.1420028711905577,0.864623606491559,7.505248477772823,0.8930975656880661,0.9899999999999999,0.5000000000000001,0.0,0.27752195327264884,-3.9645095822084397,2.558063263542975e-15,0.010000054124657796,0.5000000000449549,0.0,-0.012873678889473036,0.38672883624089194,0.399602515130365,OK
Calm_2016_4_Bear,calm,2016-04-15,2017-01-22,194,10.773845068316291,1.3178665477236386,-0.3279978454335006,-63.6315820140991,63.01425014274516,-7.9656062741951805,0.010000000000000002,0.5000000000000001,0.0,0.010000000000000002,0.5000000000000001,0.0,0.8049876467336086,8.54424422101908,4.490063806695855e-70,0.2203701543126997,11.548112698075498,0.7769077819779007,-0.3101030353826426,-0.3458926554843585,-0.03578962010171588,OK
Calm_2020_10_Bear,calm,2020-10-15,2021-07-24,194,27.816662724133103,1.6357511512343117,-0.3646345282871929,-70.73909848771545,75.63469024558037,-15.186559500450572,0.010000000000011508,0.5000000000000001,0.0,0.01000000062807043,0.5000000000000001,0.0,0.9596723880737303,4.617163325432582,8.06137161167443e-136,0.19266755251114437,3.2665529741786745,0.9675929477174003,-0.20601580900844338,-0.5232532475659424,-0.317237438557499,OK
Calm_2023_4_Bear,calm,2023-04-15,2024-01-22,193,18.540440537061343,1.5295590494290061,-0.40300077519833155,-77.77914961327794,77.00636150135307,-15.56916729450053,0.9899999999999948,0.5000000000000001,0.0,0.010000042190602274,0.5000000000015575,0.0,0.9644851025789087,4.431866481114714,2.1519554247327207e-140,0.6676343452345026,2.161217660615212,0.9848451849785206,-0.4147547937901222,-0.39136793205594084,0.023386861734181363,OK
Calm_2003_4_Aug2,calm,2003-04-15,2003-07-12,61,13.099582008936238,1.71153979355888,-0.2341025114283746,-14.280253197130847,14.4247990333733,0.9179907094687046,0.010000291015633505,0.5000000005650477,0.0,0.3874070575788001,6.881441462655832,0.9940888023818387,0.9332657828603461,-14.491181339884733,2.2255963145484692e-36,0.9899999605618006,0.5000000000000048,0.0,-0.20304895641634566,-0.26415433885937045,-0.0611053824430248,OK
Calm_2004_4_Aug2,calm,2004-04-15,2004-07-12,60,-1.06004311687119,0.8795954311754001,0.26658005088783276,15.99480305326997,16.5363966832385,1.0055858707298282,0.11663543388314318,4.420428293327344,0.9699635791615281,0.5344023120694718,6.50112987261851,0.9988111660507244,0.8327608649303312,11.397702837190238,3.415477376619492e-24,0.25677641143921737,5.246842978878985,0.915517043339828,0.391892095728671,0.14126800604699452,-0.2506240896816765,OK
Calm_2005_4_Aug2,calm,2005-04-15,2005-07-12,61,6.032196542420665,0.8100544678791244,0.21615925479889303,13.185714542732477,11.870073908443349,1.8489142939865761,0.08097499293595448,12.368837498133459,0.8342454363369504,0.6475566367723437,2.7440748066645932,0.99939186102382,0.40980464411111034,3.3363778072634247,2.7735422082887043e-08,0.08097499293595448,12.368837498133459,0.8342454363369504,0.39910300824252115,0.039116912756672326,-0.3599860954858488,OK
Calm_2006_4_Aug2,calm,2006-04-15,2006-07-12,61,-1.6338055129347717,0.7500326954432696,0.5138995811072727,31.347874447543635,31.616269857723594,1.0169264101015125,0.5635168684372155,5.883938397834054,0.9917058030427461,0.8482613921848559,10.415208308203132,0.9845219494112344,0.6841804077456974,30.67042733698165,2.124772894455761e-16,0.6530975121223629,34.27257731283503,0.7871674247794304,0.4102371512576939,0.6142180616068651,0.2039809103491712,OK
