specimen_id	outcome	a_hat_paper	n_points	logistic_aic	logistic_bic	logistic_r2	logistic_inflection	logistic_success	gompertz_aic	gompertz_bic	gompertz_r2	gompertz_inflection	gompertz_success	weibull_aic	weibull_bic	weibull_r2	weibull_inflection	weibull_success	hill_aic	hill_bic	hill_r2	hill_inflection	hill_success
T_020_C_1_007_045_01	308.906990845537		289	-1051.1453427471645	-1043.8124893709396	0.9755296444348941	0.026825326535161308	True	-1135.1065204854717	-1127.7736671092468	0.9816993001617734	0.018819486761995814	True	-1177.4782109607195	-1170.1453575844946	0.9841950298707975	0.0048285255205258015	True	-1360.7588307205838	-1353.425977344359	0.9916175900222022	0.00844850515283053	True
T_020_C_2_008_046_02	300.687648326774		340	-1153.8448748487062	-1146.1869836134858	0.9644185053482449	0.021043722976848915	True	-1233.3379253096498	-1225.6800340744294	0.9718366186631341	0.014492297654179474	True	-1303.1710411586932	-1295.5131499234728	0.977065757881155		True	-1589.4206103096385	-1581.762719074418	0.9901179440199427	0.004096765496540757	True
T_020_D_1_010_064_01	282.622139614456		500	-1548.2974279930306	-1539.8682117961862	0.9613133640909207	0.02625890109594871	True	-1655.1374163549735	-1646.708200158129	0.968756409900517	0.018533621816062284	True	-1730.6185926409578	-1722.1893764441133	0.9731342595481164	0.001388396254431707	True	-2136.367016877973	-2127.937800681129	0.9880664347694124	0.005863471059358411	True
T_020_D_2_011_065_02	291.821443265679		176	-541.6672768537994	-535.3263088637232	0.9440990840543115	0.02573373112922788	True	-567.2685102717522	-560.927542281676	0.951666775020407	0.017594063895485748	True	-586.8717024043658	-580.5307344142896	0.9567612346704487		True	-741.9891640069036	-735.6481960168273	0.9820894804458544	0.0040750727315032745	True
T_020_D_3_012_066_03	285.69504833639		465	-1511.9899089709156	-1503.705834159741	0.9739224220010411	0.03498348122493135	True	-1625.143931510217	-1616.8598566990424	0.9795550914536382	0.02625761939594441	True	-1631.908787529959	-1623.6247127187844	0.9798503724733802	0.0200938722721448	True	-1884.011662951283	-1875.7275881401083	0.9882831370509747	0.016162944912250742	True
T_020_E_1_013_071_03	276.607824736583		500	-1645.517993413292	-1637.0887772164476	0.9608021455538047	0.026050798468164615	True	-1723.573719553168	-1715.1445033563236	0.966467652850538	0.017969964768028594	True	-1761.8299128792016	-1753.4006966823572	0.9689375972567095	0.0026801058494705875	True	-2098.6456291490153	-2090.216412952171	0.9841627186404941	0.005718496715727031	True
T_020_E_2_014_097_04	276.35304034072		500	-1544.9040602002563	-1536.4748440034118	0.9659371329601288	0.025976394259305053	True	-1649.7979345269314	-1641.368718330087	0.972383315548469	0.01861560849486413	True	-1705.2638122147275	-1696.834596017883	0.9752830722274829	0.004277894107623598	True	-2052.370863925675	-2043.9416477288307	0.9876547146099307	0.005815932468359189	True
T_020_E_3_015_098_05	274.610658491		283	-876.4822973762281	-869.1914035809416	0.9520716139063848	0.023221424778675625	True	-927.9975553868745	-920.706661591588	0.9600481401076726	0.015709416738648927	True	-982.7213153102468	-975.4304215149604	0.9670726028873305		True	-1220.83860535177	-1213.5477115564836	0.9858048380545424	0.0031495704625342028	True
T_020_F_1_016_134_26	331.306057883049		269	-1039.8190517070243	-1032.6296289478207	0.9825061488440533	0.036947073331453334	True	-1111.6822145281108	-1104.4927917689072	0.9866074289696173	0.027130024956822024	True	-1107.4207345341654	-1100.2313117749618	0.9863935753005536	0.019634971022622707	True	-1209.420428629284	-1202.2310058700805	0.9906874675652639	0.018728681051444936	True
T_020_G_1_020_139_27	304.743333329536		356	-1400.2289169400535	-1392.4790554783494	0.980991096182005	0.027586717486974874	True	-1474.5767123530914	-1466.8268508913873	0.9845738307459461	0.018877453178184466	True	-1453.421440300943	-1445.671578839239	0.9836293468311362	0.006599839638332419	True	-1500.3709928985056	-1492.6211314368015	0.9856520148422563	0.009474182058045006	True
T_020_H_1_024_131_26	319.747323675888		475	-1773.3675915562308	-1765.0409619481616	0.9834778186090837	0.04899962804643248	True	-2013.09578622225	-2004.7691566141807	0.9900256891896815	0.037374658996820374	True	-2009.9633475953167	-2001.6367179872475	0.9899596951602531	0.030356195291177113	True	-2479.742746227776	-2471.416116619707	0.9962655587236792	0.02850552254383904	True
T_020_I_1_028_135_26	289.881300173436		137	-525.2270005409423	-519.3870386892861	0.981684904399042	0.028981980518744413	True	-552.1460574616666	-546.3060956100104	0.9849521345667204	0.021760682260642414	True	-548.251489683031	-542.4115278313748	0.9845182230520358	0.018871933999305323	True	-575.0429045537804	-569.2029427021242	0.9872681608131224	0.016774674832806365	True
T_100_A_1_032_038_08	252.998046400138		409	-1896.5865673776207	-1888.559137065535	0.9914043363329975	0.03684515930163297	True	-2012.9307489579087	-2004.903318645823	0.9935324475186963	0.02709730572501849	True	-1997.0743851284833	-1989.0469548163976	0.9932767856545834	0.022383049686955994	True	-1921.1470349414565	-1913.1196046293708	0.991905313907852	0.021305369256445376	True
T_100_A_2_033_039_09	211.730033990944		317	-1547.039191556787	-1539.5213880090325	0.9939981799133264	0.03674618330180176	True	-1806.0968221234634	-1798.579018575709	0.9973492403195169	0.026099217328450105	True	-1821.1731580637386	-1813.655354515984	0.9974723580022908	0.016849511917830125	True	-1476.4765336747846	-1468.95873012703	0.9925018381316756	0.01906632325235091	True
T_100_A_3_034_040_10	253.567507704706		410	-1764.1840551681355	-1756.1517408487389	0.9878034654106488	0.029042981630037254	True	-1933.8571360228511	-1925.8248217034545	0.9919367630809	0.019628869246927506	True	-1935.8021537230597	-1927.7698394036631	0.9919749240499384	0.0049389919176724755	True	-1829.000953529778	-1820.9686392103813	0.9895869287770814	0.010294685545764737	True
T_100_B_1_035_060_06	252.400500707896		402	-1538.6472530485173	-1530.6543488712794	0.9841905320889318	0.036119668597150385	True	-1701.1871946338347	-1693.1942904565967	0.9894483654397445	0.025049009525299037	True	-1735.719484101346	-1727.7265799241081	0.9903169245271886	0.008266276210830592	True	-1762.6648974440322	-1754.6719932667943	0.9909446913801812	0.013708334433900226	True
T_100_B_2_036_067_08	248.409143478597		411	-1644.3725073206056	-1636.335320891613	0.9889993288580411	0.04067646479548385	True	-1917.8336556055579	-1909.7964691765653	0.9943446573964881	0.029933522862349973	True	-1990.2204743435425	-1982.18328791455	0.9952579143696103	0.01959980347634445	True	-2187.3443870841143	-2179.307200655122	0.9970645615768221	0.020722800000370124	True
T_100_B_3_037_096_09	252.242629039729		401	-1644.619419041313	-1636.6314961867	0.9872772010069365	0.03883928983720473	True	-1777.9825898033237	-1769.9946669487106	0.9908768139137567	0.02837572634533165	True	-1780.4945186119521	-1772.506595757339	0.9909337844033984	0.021528118235510263	True	-1822.4243940536976	-1814.4364711990845	0.9918338982532869	0.02059642818057476	True
T_100_C_1_038_049_04	270.205556838554		500	-1930.0357829103762	-1921.6065667135317	0.9752368243592441	0.02587390668062887	True	-2037.7744599672699	-2029.3452437704254	0.9800370043482539	0.018454765822685345	True	-2050.664420041073	-2042.2352038442284	0.9805450716761596	0.010282217695541072	True	-2278.7233290649265	-2270.2941128680823	0.9876706499341196	0.010752650161694313	True
